id_product;id_feature;id_feature_value;
"21";"82";"2465";
"21";"83";"2464";
"21";"88";"2469";
"21";"89";"2471";
"21";"90";"2470";
"21";"99";"39558";
"21";"100";"39559";
"23";"8";"26";
"23";"9";"28";
"23";"10";"30";
"23";"13";"40";
"23";"14";"42";
"23";"16";"46";
"23";"17";"48";
"23";"21";"56";
"23";"32";"87";
"23";"41";"94";
"23";"45";"98";
"23";"48";"75";
"23";"66";"2417";
"23";"82";"2465";
"23";"83";"2464";
"23";"88";"2469";
"23";"90";"2470";
"23";"92";"2472";
"23";"95";"2476";
"23";"99";"43536";
"23";"100";"43537";
"25";"1";"135";
"25";"8";"25";
"25";"9";"27";
"25";"10";"30";
"25";"11";"32";
"25";"13";"40";
"25";"16";"46";
"25";"17";"48";
"25";"19";"52";
"25";"21";"56";
"25";"32";"87";
"25";"36";"92";
"25";"45";"98";
"25";"48";"74";
"25";"49";"139";
"25";"54";"177";
"25";"72";"2422";
"25";"73";"2428";
"25";"75";"2425";
"25";"76";"2424";
"25";"85";"2466";
"25";"86";"2468";
"25";"87";"2467";
"25";"90";"2470";
"25";"91";"2473";
"25";"101";"18519";
"26";"1";"130";
"26";"8";"25";
"26";"9";"28";
"26";"10";"30";
"26";"11";"32";
"26";"13";"40";
"26";"14";"42";
"26";"16";"46";
"26";"17";"48";
"26";"18";"50";
"26";"21";"56";
"26";"39";"79";
"26";"47";"77";
"26";"48";"75";
"26";"49";"124";
"26";"59";"2410";
"26";"66";"2417";
"26";"75";"2425";
"26";"80";"2448";
"26";"81";"2429";
"26";"83";"2464";
"26";"85";"2466";
"26";"89";"2471";
"26";"98";"2479";
"26";"99";"65985";
"26";"100";"65986";
"27";"1";"123";
"27";"8";"25";
"27";"9";"28";
"27";"10";"30";
"27";"13";"40";
"27";"14";"42";
"27";"16";"46";
"27";"17";"48";
"27";"21";"56";
"27";"39";"79";
"27";"45";"98";
"27";"47";"77";
"27";"48";"76";
"27";"49";"139";
"27";"54";"177";
"27";"59";"2410";
"27";"66";"2417";
"27";"73";"2428";
"27";"75";"2425";
"27";"80";"2436";
"27";"81";"2429";
"27";"82";"2465";
"27";"85";"2466";
"27";"86";"2468";
"27";"87";"2467";
"27";"93";"2475";
"27";"96";"2478";
"27";"97";"2477";
"27";"99";"64993";
"27";"100";"64994";
"28";"9";"27";
"28";"10";"30";
"28";"13";"40";
"28";"14";"42";
"28";"16";"46";
"28";"17";"48";
"28";"21";"56";
"28";"39";"79";
"28";"47";"77";
"28";"48";"75";
"28";"66";"2417";
"28";"75";"2425";
"28";"82";"2465";
"28";"83";"2464";
"28";"86";"2468";
